,ID,Name,Text,Quantity,Unit,ingredient
0,1,Cookbook:Hard Tack of India (Baati),1 pound (450 g) wheat flour,1,pound,(450 g) wheat flour
1,1,Cookbook:Hard Tack of India (Baati),1/2 teaspoon salt,1/2,teaspoon,salt
2,1,Cookbook:Hard Tack of India (Baati),3 tablespoons oil,3,tablespoons,oil
3,1,Cookbook:Hard Tack of India (Baati),1 1/2 teaspoons ghee (for serving),1,1/2,teaspoons ghee (for serving)
4,2,Cookbook:Baba Ganoush,"1 medium-large eggplant, any variety, 1 to 1½ pounds",1,medium-large,"eggplant, any variety, 1 to 1½ pounds"
5,2,Cookbook:Baba Ganoush,2 tablespoons raw tahini,2,tablespoons,raw tahini
6,2,Cookbook:Baba Ganoush,Juice of 1 lime,Juice,of,1 lime
7,2,Cookbook:Baba Ganoush,"1 clove garlic, crushed",1,clove,"garlic, crushed"
8,2,Cookbook:Baba Ganoush,3 tablespoons olive oil,3,tablespoons,olive oil
9,2,Cookbook:Baba Ganoush,½ tsp salt,½,tsp,salt
10,2,Cookbook:Baba Ganoush,"Paprika or cayenne pepper, as a garnish",Paprika,or,"cayenne pepper, as a garnish"
11,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),2 lbs. (900 g) salt cod,2,lbs.,(900 g) salt cod
12,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),1 cup olive oil,1,cup,olive oil
13,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),4 medium-sized onions,4,medium-sized,onions
14,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),"1 tsp. garlic, finely-chopped",1,tsp.,"garlic, finely-chopped"
15,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),6 medium-sized potatoes,6,medium-sized,potatoes
16,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),20 pitted black olives,20,pitted,black olives
17,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),"6 hard-boiled eggs, sliced",6,hard-boiled,"eggs, sliced"
18,3,Cookbook:Salt Cod and Potato Casserole (Bacalhau à Gomes de Sá),"2 Tbs. parsley, finely chopped",2,Tbs.,"parsley, finely chopped"
19,4,Cookbook:Bacon Cheese Omelet,3 large eggs,3,large,eggs
20,4,Cookbook:Bacon Cheese Omelet,2 medium (10 oz) slices of cooked bacon,2,medium,(10 oz) slices of cooked bacon
21,4,Cookbook:Bacon Cheese Omelet,2 slices of American cheese,2,slices,of American cheese
22,4,Cookbook:Bacon Cheese Omelet,1 Tablespoon of butter,1,Tablespoon,of butter
23,5,Cookbook:Baingan Bartha (Southern),4 Maharashtrian Method,4,Maharashtrian,Method
24,6,Cookbook:Baked Lamb and Yogurt,1½ lb (680 g) lamb,1½,lb,(680 g) lamb
25,6,Cookbook:Baked Lamb and Yogurt,4 tablespoons (½ stick or 50 g) butter,4,tablespoons,(½ stick or 50 g) butter
26,6,Cookbook:Baked Lamb and Yogurt,2 tablespoons (30 ml) rice,2,tablespoons,(30 ml) rice
27,7,Cookbook:Baked Oatmeal,3 cups (720 g) quick-cooking oats,3,cups,(720 g) quick-cooking oats
28,7,Cookbook:Baked Oatmeal,1 cup (240 g) brown sugar,1,cup,(240 g) brown sugar
29,7,Cookbook:Baked Oatmeal,2 teaspoons baking powder,2,teaspoons,baking powder
30,7,Cookbook:Baked Oatmeal,1 teaspoon ground cinnamon,1,teaspoon,ground cinnamon
31,7,Cookbook:Baked Oatmeal,1 teaspoon salt,1,teaspoon,salt
32,7,Cookbook:Baked Oatmeal,1 cup (240 ml) milk,1,cup,(240 ml) milk
33,7,Cookbook:Baked Oatmeal,1/2 cup (120 g) butter (melted),1/2,cup,(120 g) butter (melted)
